,word,score
0,learning,0.2836141023207671
1,machine learning,0.1562564360875536
2,training,0.11573453932370789
3,machine,0.11086681520049774
4,learning algorithms,0.10964009633077992
5,algorithms,0.10090680483867842
6,model,0.08998307373417479
7,set,0.07837051290265461
8,inputs,0.06637905619873295
9,supervised,0.05702372689139121
